date,consumption
2025-01-01 00:00:00,10.5
2025-01-01 01:00:00,11.2
2025-01-01 02:00:00,9.8
2025-01-01 03:00:00,8.5
2025-01-01 04:00:00,7.9
2025-01-01 05:00:00,9.1
2025-01-01 06:00:00,12.4
2025-01-01 07:00:00,15.8
2025-01-01 08:00:00,18.2
2025-01-01 09:00:00,20.1
2025-01-01 10:00:00,22.0
2025-01-01 11:00:00,21.5
2025-01-01 12:00:00,19.8
2025-01-01 13:00:00,18.4
2025-01-01 14:00:00,17.9
2025-01-01 15:00:00,19.2
2025-01-01 16:00:00,22.8
2025-01-01 17:00:00,25.4
2025-01-01 18:00:00,28.1
2025-01-01 19:00:00,26.7
2025-01-01 20:00:00,23.5
2025-01-01 21:00:00,19.0
2025-01-01 22:00:00,14.2
2025-01-01 23:00:00,11.8
2025-02-15 00:00:00,10.1
2025-02-15 01:00:00,9.9
2025-02-26 00:00:00,12.0
